date,title,category,content
20200424,Premier Su praises Taiwan Model for combating COVID-19,Politics,"Premier Su Tseng-chang praised the Taiwan Model&rsquo;s effectiveness in managing the spread of COVID-19 during a Cabinet meeting April 23 at the Executive Yuan in Taipei City, crediting its success to the vigilance of the country&rsquo;s citizens and intragovernmental cooperation.<br />
↵&nbsp;<br />
↵The remarks came after a briefing by the Ministry of Health and Welfare on current coronavirus developments around the world and the Central Epidemic Command Center&rsquo;s latest response measures.<br />
↵&nbsp;<br />
↵Since coronavirus was first reported in the Chinese city of Wuhan late last year, it has spread to over 180 countries, with 2.7 million confirmed cases and nearly 190,000 deaths, Su said. Taiwan is one of the few places in the world where life goes on as usual, and the country is widely regarded as an exemplary model for addressing the pandemic without massive economic disruption, he added.<br />
↵&nbsp;<br />
↵Among the new measures announced by the CECC are extensions of restrictions on direct flights between China and Taiwan and airline passenger transits through Taiwan. The new end date of the bans, which were originally to be lifted April 29 and 30 respectively, will be determined as the pandemic situation develops, the CECC said.<br />
↵&nbsp;<br />
↵The decision is aimed at safeguarding the health of the country&rsquo;s residents as the outbreak continues to disrupt daily life in Europe and the U.S., and the number of cases in Latin America and Southeast Asia has begun to climb sharply.<br />
↵&nbsp;<br />
↵Latest statistics from the CECC reveal 428 confirmed cases of COVID-19 in Taiwan as of April 24, including 30 cases from the ROC Navy combat support vessel Panshi, with six deaths. A total of 2,732,280 cases have been identified in 183 other countries and territories. (TYT-E)<br />
↵&nbsp;<br />
↵Write to Taiwan Today at <a href=""mailto:ttonline@mofa.gov.tw"">ttonline@mofa.gov.tw</a>
"
20200424,MOFA film spotlights how Taiwan Can Help realize Health For All,Politics,"A <a href=""https://www.youtube.com/watch?v=U-tKf7jZsoU&amp;feature=youtu.be"">short film</a> spotlighting how Taiwan Can Help achieve the World Health Organization&rsquo;s goal of Health For All was released April 23 by the Ministry of Foreign Affairs.<br /> ↵&nbsp;<br /> ↵The four-minute video documents how Taiwan&rsquo;s high-quality medical care gave a new lease on life to a Guamanian man with injury-induced spinal and hip deformities. Shot entirely on location, the production is subtitled in Chinese, English, French, German, Indonesian, Japanese, Russian, Spanish, Thai and Vietnamese.<br /> ↵&nbsp;<br /> ↵Theodore Nelson was working as an assistant professor at the University of Guam when he injured his back. For nine years, he was unable to stand up straight or carry out daily tasks without severe pain.<br /> ↵&nbsp;<br /> ↵On the advice of a friend, Nelson traveled to China Medical University Hospital in central Taiwan&rsquo;s Taichung City last year to receive treatment. After two hip replacements and spinal surgery, he can now walk upright again.<br /> ↵&nbsp;<br /> ↵At the end of the short, a smiling Nelson describes his trip to Taiwan as a blessing, saying he has complete trust in the medical staff at CMUH. &ldquo;I will go back there if I need anything. Thank you, Taiwan.&rdquo;<br /> ↵&nbsp;<br /> ↵According to the MOFA, an increasing number of people from around the world are choosing to visit Taiwan for medical treatment, as the reputation of the country&rsquo;s high-quality health care system continues to grow.<br /> ↵&nbsp;<br /> ↵The ministry said Nelson&rsquo;s story demonstrates how Taiwan is putting the U.N. Sustainable Development Goals into practice. It called on the international community to support Taiwan&rsquo;s inclusion in the WHO so as to ensure global health and security. (SFC-E)"
20200423,VP Chen shares Taiwan’s experience combating coronavirus with The New York Times,Politics,"Vice President Chen Chien-jen sat down for an interview with The New York Times earlier this week at the Presidential Office in Taipei City to share Taiwan&rsquo;s experience combating coronavirus and the impact of the country&rsquo;s exclusion from the World Health Organization.<br /> ↵&nbsp;<br /> ↵As a responsible member of the international community, Taiwan is willing and able to share its expertise managing the COVID-19 pandemic with the rest of the world, Chen said.<br /> ↵&nbsp;<br /> ↵No country can fight coronavirus alone, as diseases know no boundaries, and Taiwan will continue working with other nations to deliver Health For All, he added.<br /> ↵&nbsp;<br /> ↵According to Chen, although Taiwan has managed to limit the spread of COVID-19, the country remains at risk so long as outbreaks remain in other parts of the world.<br /> ↵&nbsp;<br /> ↵This highlights the dangers of Taiwan&rsquo;s exclusion from the world health governance system, Chen said. Although the WHO argues it collaborates with Taiwan, the reality is 70 percent of applications to attend technical meetings have been denied without explanation due to pressure from China, he added.<br /> ↵&nbsp;<br /> ↵The vice president said Taiwan&rsquo;s exclusion from the WHO and World Health Assembly is detrimental to the well-being of its 23 million people, adding the government stands ready to help advance global health security. (SFC-E)"
20200423,"Taiwan donates 200,000 surgical masks to Holy See",Politics,"Taiwan donated 200,000 surgical masks to European ally Holy See during a ceremony April 22 at Ministry of Foreign Affairs headquarters in Taipei City.<br /> ↵&nbsp;<br /> ↵Overseeing the event was Deputy Foreign Minister Kelly Wu-chiao Hsieh, who said the donation will help protect frontline medical staffers and members of the church, while supporting Catholic institutions in their hour of need. Only through working together can countries overcome this unprecedented public health crisis, he added.<br /> ↵&nbsp;<br /> ↵Taiwan has earned praise from around the world for its effective model managing the COVID-19 pandemic, Hsieh said, adding that Taiwan Can Help strengthen global disease-fighting efforts by sharing its expertise with allies and like-minded partners.<br /> ↵&nbsp;<br /> ↵Receiving the donation on behalf of the Holy See, Charge d&rsquo;Affaires Monsignor Arnaldo Catalan thanked Taiwan&rsquo;s government for its generosity and timely assistance to hard-hit areas in Europe and conveyed Pope Francis&rsquo;s best regards to the Taiwan people.<br /> ↵&nbsp;<br /> ↵The donation follows a previous contribution of 280,000 surgical masks given to the Holy See April 9. To date, Taiwan has pledged to donate over 16 million surgical masks to its allies and countries in America, Europe and the Asia-Pacific for use as personal protective equipment. (YCH-E)<br /> ↵&nbsp;<br /> ↵Write to Taiwan Today at <a href=""mailto:ttonline@mofa.gov.tw"">ttonline@mofa.gov.tw</a>"""
20200422,Defense minister apologizes over coronavirus infection cluster,Politics,"Minister of National Defense Yen De-fa apologized to the public April 21 over a cluster of coronavirus infections on board the ROC Navy combat support vessel Panshi, vowing to root out the cause.<br /> ↵<br /> ↵The MND deeply regrets mismanagement of disease prevention measures aboard the vessel and any subsequent disturbance to society, Yen said.<br /> ↵&nbsp;<br /> ↵Two navy admirals directly involved in the matter have been removed from their posts pending further investigation, the minister said, adding that he and Navy Chief of Staff Adm. Liu Chih-pin had asked President Tsai Ing-wen to take necessary punitive actions.<br /> ↵&nbsp;<br /> ↵Yen made the remarks during a press conference in Taipei City held after confirmation by the Central Epidemic Command Center of 27 COVID-19 cases among the vessel&rsquo;s 337 crew members.<br /> ↵&nbsp;<br /> ↵Part of the Navy&rsquo;s Dunmu Fleet, Panshi was one of three vessels on overseas training exercises from March 5 to April 9 that included a stop in Pacific ally Palau.<br /> ↵&nbsp;<br /> ↵All 744 crew members stayed on board for five days as part of quarantine and testing protocol upon returning to Zuoying Naval Base in southern Taiwan&rsquo;s Kaohsiung City, the CECC said. The confirmed cases are now receiving treatment in isolation, with the remainder undergoing 14-day quarantine at various facilities, it said.<br /> ↵&nbsp;<br /> ↵According to Yen, a preliminary investigation found major flaws in disease prevention protocol by the Navy and the vessel&rsquo;s command center.<br /> ↵&nbsp;<br /> ↵These include inadequate planning of relevant measures before departure, lax enforcement of health management procedures during the mission, poor compliance with testing upon return and failure to report developments in a timely manner to the CECC, Yen said.<br /> ↵&nbsp;<br /> ↵The CECC said any crew member who exhibits symptoms of COVID-19 during isolation will be tested again for coronavirus, with all the sailors tested once more at the end of the 14-day period. Only those that test negative will be discharged from quarantine, it added. (SFC-E)"""
20200421,"Taiwan donates 200,000 surgical masks to Thailand
",Politics,"Taiwan donated 200,000 surgical masks to Thailand during a ceremony April 20 at the Ministry of Foreign Affairs headquarters in Taipei City, demonstrating the country&rsquo;s commitment to helping the world combat COVID-19.<br /> ↵&nbsp;<br /> ↵Presiding over the ceremony, Deputy Foreign Minister Hsu Szu-chien emphasized that no country can stand alone against the threat coronavirus presents to the world. With Taiwan and Thailand facing many of the same challenges amid the pandemic, Hsu expressed hope the two nations can collaborate in the future on epidemic prevention measures.<br /> ↵&nbsp;<br /> ↵Taiwan has gained global recognition for its timely and effective response measures, Hsu said, adding that the country is willing and able to share its expertise with like-minded partners such as Thailand, a target country of the government&rsquo;s New Southbound Policy.<br /> ↵&nbsp;<br /> ↵Upon receiving the donation, Executive Director of Thailand Trade and Economic Office Thongchai Chasawath thanked the Taiwan government for its generosity and vowed to prioritize hospitals in hard-hit areas when distributing masks, especially those in the three southern provinces neighboring Malaysia.<br /> ↵&nbsp;<br /> ↵A key plank in Taiwan&rsquo;s national development strategy, the NSP seeks to bolster agricultural, business, cultural, education, tourism and trade ties with the 10 Association of Southeast Asian Nations member states, six South Asian countries, Australia and New Zealand. (TYT-E)<br /> ↵&nbsp;<br /> ↵Write to Taiwan Today at <a href=""mailto:ttonline@mofa.gov.tw"">ttonline@mofa.gov.tw</a>"""
20200421,Charter flight returns carrying 231 Taiwan nationals from China,Politics,"A charter flight carrying 231 Taiwan nationals who have been stranded in the Chinese city of Wuhan since the coronavirus outbreak was first discovered late last year touched down April 20 at Taiwan Taoyuan International Airport.<br />
↵&nbsp;<br />
↵All passengers, including 193 adults and 38 children, underwent health screening on arrival, with one adult and one child immediately hospitalized after exhibiting respiratory symptoms. The remaining returnees were dispatched to a facility in northern Taiwan for 14 days of mandatory quarantine where they will stay in single rooms and receive checkups twice daily.<br />
↵&nbsp;<br />
↵The flight was the first of two organized by Taiwan&rsquo;s Straits Exchange Foundation in collaboration with Taoyuan City-headquartered China Airlines this week. The second is scheduled to depart tonight and bring back 230 Taiwan nationals.<br />
↵&nbsp;<br />
↵The move follows the lifting of restrictions on outbound travel in China&rsquo;s Hubei province and Wuhan March 25 and April 8, respectively.<br />
↵&nbsp;<br />
↵The charter was the fourth evacuation of Taiwan nationals and their family members from Wuhan this year, after flights Feb. 3 as well as March 10, 29 and 30 carrying a total of 975 passengers.<br />
↵&nbsp;<br />
↵Latest statistics from the Central Epidemic Command Center reveal 425 confirmed cases of COVID-19 in Taiwan as of April 21, with six deaths. A total of 2,483,367 cases have been identified in 183 other countries and territories. (YCH-E)<br />
↵&nbsp;<br />
↵Write to Taiwan Today at <a href=""mailto:ttonline@mofa.gov.tw"">ttonline@mofa.gov.tw</a><br />
↵&nbsp;""
"
20200421,President Tsai shares Taiwan’s experience managing COVID-19 with Time,Politics,"President Tsai Ing-wen penned an article titled &ldquo;How My Country Prevented a Major Outbreak of COVID-19,&rdquo; published April 16 as part of U.S.-based Time magazine&rsquo;s special series &ldquo;Finding Hope: The Time 100 Community on Navigating our New Reality.&rdquo;<br />
↵&nbsp;<br />
↵The president attributed Taiwan&rsquo;s ability to contain the spread of the disease to community-wide efforts, the necessity of which the country learned through the hard lessons of 2003&rsquo;s severe acute respiratory syndrome outbreak. This past experience spurred officials, health experts from the public and private sectors, and the general populace to rapidly respond to early warning signs in the Chinese city of Wuhan where the coronavirus was first reported last year, Tsai said.<br />
↵&nbsp;<br />
↵According to Tsai, the government immediately mobilized upon realizing the potential danger, implementing rigorous screening of passengers arriving from Wuhan in late December followed by the activation of the Central Epidemic Command Center, which put in place travel restrictions and quarantine measures for high-risk inbound passengers. Further measures, including tracking the contacts of confirmed cases, merging individuals&rsquo; travel histories with their medical records stored in the National Health Insurance database and providing transparent information to the public, were instrumental in preventing a widespread outbreak.<br />
↵&nbsp;<br />
↵Local businesses and apartment communities also deserve credit for doing their part by implementing temperature checks and sterilization procedures to supplement government efforts, Tsai said.<br />
↵&nbsp;<br />
↵To ensure an affordable and sustainable supply of surgical masks, the government teamed up with private enterprises to ramp up production while instituting a rationing system for all residents, according to the president. Dubbing this partnership &ldquo;Team Taiwan,&rdquo; Tsai said the efforts additionally enabled the country to donate supplies to allies and like-minded partners in need.<br />
↵&nbsp;<br />
↵Emphasizing how important unity is in times of global crisis, Tsai also urged the World Health Organization to rethink Taiwan&rsquo;s unfair exclusion from the global body&rsquo;s activities, mechanisms and meetings. Exceling in manufacturing, medicine and technology, the country is willing and able to share its expertise with the world, she said.<br />
↵&nbsp;<br />
↵Time has been publishing its annual list of the 100 most influential people in the world since 2004, with this year&rsquo;s edition dedicated to finding hope amid the ongoing coronavirus pandemic. The Dalai Lama, Margaret Atwood, Mikhail Gorbachev and President Tsai were among those chosen to share their thoughts about our new reality. (TYT-E)<br />
↵&nbsp;<br />
↵Write to Taiwan Today at <a href=""mailto:ttonline@mofa.gov.tw"">ttonline@mofa.gov.tw</a>""
"
20200420,VP Chen talks Taiwan Model for combating coronavirus with The Daily Telegraph,Politics,"Vice President Chen Chien-jen sat down for an exclusive interview with U.K.-based The Daily Telegraph last week in Taipei City, in which he expounded on the Taiwan Model for combating coronavirus and the impact of the country&rsquo;s exclusion from the activities, mechanisms and meetings of the World Health Organization.<br /> ↵&nbsp;<br /> ↵Taiwan&rsquo;s experience with the 2003 severe acute respiratory syndrome outbreak informed its rapid response to the current epidemic, Chen said. Measures including enhanced monitoring for emerging infectious diseases, strict border controls and 14-day mandatory quarantines have been efficiently implemented thanks to establishment of the Central Epidemic Command Center, which has centralized the government&rsquo;s response and helped limit domestic spread of COVID-19, he added.<br /> ↵&nbsp;<br /> ↵According to Chen, ramping up surgical mask production and implementing a rationing system are also paying dividends, with capacity expected to reach 15 million masks per day this week. Taiwan is also well equipped to treat confirmed cases, with 20,000 negative pressure isolation rooms and 14,000 ventilators available, he said.<br /> ↵&nbsp;<br /> ↵The vice president said the development of vaccines, rapid testing kits and pharmaceuticals is key in the global fight against coronavirus. Institutions like Taipei City-based Academia Sinica and Miaoli County-headquartered National Health Research Institutes in northern Taiwan are working with counterparts including the U.S. National Institutes of Health on relevant R&amp;D and production of drugs such as hydroxychloroquine and remdesivir, Chen added.<br /> ↵&nbsp;<br /> ↵Transparent sharing of information also plays a vital role in combating coronavirus, Chen said, noting that early warnings from health care workers in Wuhan, the Chinese city where COVID-19 was first reported late last year, were not heeded.<br /> ↵&nbsp;<br /> ↵Chen said the WHO did not act with the same speed as in past epidemics, with the global body choosing not to announce a Public Health Emergency of International Concern until the end of January, nearly a month after Taiwan&rsquo;s Centers for Disease Control sent an email regarding the outbreak to the WHO on Dec. 31, 2019.<br /> ↵&nbsp;<br /> ↵The text warned of at least seven atypical pneumonia cases of unknown cause in Wuhan requiring isolation treatment.<br /> ↵&nbsp;<br /> ↵Regarding suggestions for other countries and territories working to manage the pandemic, renowned epidemiologist Chen said social distancing and designated testing of close contacts of confirmed cases and high risk groups are more effective than mass testing.<br /> ↵&nbsp;<br /> ↵The vice president also expressed optimism now that countries have enacted stricter measures, with signs that infection curves are being flattened in many places. &ldquo;This is a good sign for COVID-19 containment,&rdquo; he said. (YCH-E)"""
20200420,"CECC rolls out new measures combating COVID-19
",Politics,"Taiwan&rsquo;s Central Epidemic Command Center announced new disease prevention measures April 18, the latest in a series of moves aimed at safeguarding the country amid the ongoing coronavirus pandemic.<br /> ↵&nbsp;<br /> ↵The new rules require inbound travelers who have visited Southeast Asia in the last 14 days to fill out health declaration and quarantine notice forms before boarding flights to Taiwan, the CECC said, adding that the measures take effect April 21 at midnight local time.<br /> ↵&nbsp;<br /> ↵According to the CECC, affected passengers must confirm their residence meets home quarantine requirements, including a separate bedroom and bathroom. Those whose homes do not meet the stipulations or who live with people age 65 and over, children age 6 and under, or anyone with chronic conditions are required to check into a quarantine hotel.<br /> ↵&nbsp;<br /> ↵Anyone who provides false information on the forms can be fined up to NT$150,000 (US$5,000), the CECC added. The new regulations join those already in place for passengers who traveled to Europe and the Americas prior to arriving in Taiwan and are expected to reduce the risk of cluster infections caused by imported cases.<br /> ↵&nbsp;<br /> ↵The Bureau of Consular Affairs under the Ministry of Foreign Affairs also announced April 17 a second automatic 30-day extension for foreigners who entered Taiwan on or before March 21 on a visitor visa, landing visa or through a visa waiver program and have not exceeded their legal stay. Foreign nationals who receive extensions can remain in the country for a maximum of 180 days.<br /> ↵&nbsp;<br /> ↵Latest statistics from the CECC reveal 422 confirmed cases of COVID-19 in Taiwan as of April 20, with six deaths. A total of 2,408,630 cases have been identified in 183 other countries and territories. (TYT-E)<br /> ↵&nbsp;<br /> ↵Write to Taiwan Today at <a href=""mailto:ttonline@mofa.gov.tw"">ttonline@mofa.gov.tw</a>"""
